time,ec_flux,w_mean,L,ustar,r_Tsw,w_abs_mean,C_alpha,Ts_alpha,alpha_analytic,flux_error,w_skewness,C_skewness,zL,RNcov,tea_flux_turnipseed,w_sigma,r_cw,r_Ww,r_uw,tea_flux_emad,tea_flux_hicks,flag,rep,W_alpha,u_alpha
2020-06-25T05:00:00Z,-9.94667075888271,-0.0119511727741271,-69.304967127499,0.252572745231958,0.309624419633924,0.244560080986676,0.272057392730041,0.182400516669595,-0.031013968261402,-0.0132949126115656,0.215691452057372,0.385613553591753,-0.0721449011122333,-0.329730383614936,-10.0789108773981,0.307385828973069,-0.248597448029207,0.213083475243644,0.193630441598543,-9.98986564597263,-10.103037797638,instationary,5,-0.00856776233404476,0.179792964276664
2020-06-25T05:30:00Z,-12.4306004504577,0.0373192073363288,-40.4898936317239,0.275044722264592,0.203022426162916,0.25932124703265,0.365642983767098,0.44503790092648,0.0921883424305829,0.0526200860069141,0.0772778845944677,-0.729715889977892,-0.123487605215206,-0.102654975713704,-11.7765011856371,0.322275079291068,-0.282405450758094,0.195491651182632,0.190809990512796,-12.5823490053075,-12.0255553221254,daytime,5,0.524710525876103,-0.0512074106298968
2020-06-25T06:00:00Z,-17.4545693008082,0.00107543509929131,-27.4983850407833,0.26568383543482,0.390409280578911,0.272591997651794,0.109430651841053,0.0591979774551842,0.00253355267750433,0.000431727875146673,0.229499013813723,-0.289258845930985,-0.181828859861567,-0.00759118871824129,-17.4470336766924,0.338683157262816,-0.419075563300707,0.342650026209068,0.0396999122321726,-17.4511093654687,-17.4473052396736,daytime,5,0.116971642213742,-1.84296953198112
2020-06-25T06:30:00Z,-13.9772327653265,0.159046322790579,-35.8743228590787,0.270332506383771,0.342347459795446,0.331785046660817,0.345048997904614,0.330919265768601,0.323268265282584,0.165404604130352,0.0162437315582512,-0.676473783278788,-0.139375453012478,-0.0457587900815464,-11.6653341129402,0.38147274396825,-0.361652322109895,0.317255146240779,-0.137343970406033,-13.8647112435455,-15.1456801737908,daytime,5,0.320198885355587,0.259427623946682
2020-06-25T07:00:00Z,-10.9089309675918,0.161606820915797,-37.6999917929331,0.270170506404876,0.267402928233098,0.325891031823066,0.299841885529527,0.326806140697946,0.33358595564792,0.148689252437402,0.0535361669420882,-0.313877288305353,-0.132626023566861,-0.0415053086443419,-9.28689017712988,0.374892831666954,-0.213222385129344,0.171385486649876,-0.0977950834073784,-11.0830095320075,-12.3153453570555,daytime,5,0.254373566530626,0.169541252418976
2020-06-25T07:30:00Z,-10.715720398928,-0.00309912296876524,-54.6372035241766,0.290068596564088,0.268632559961297,0.320305144173357,0.38324310766189,0.260479415975705,-0.00617549093338132,-0.00370808130678386,0.0945009324093083,-0.271367942564451,-0.091512736331528,-0.0505798430870228,-10.755455161428,0.400408276354277,-0.209394205284418,0.235454183849312,0.0340655931405491,-10.7284165781012,-10.7564621377141,daytime,5,0.251083246792443,-1.61371033665376
2020-06-25T08:00:00Z,-23.9374043327988,-0.124259587622457,-22.1917981200606,0.278222403278852,0.372821416489112,0.329815476217858,-0.220164742302182,-0.261010256114901,-0.248619099542092,0.0829481393693085,0.0566614235778482,-0.752233691707794,-0.225308466350917,-0.0781066845861474,-21.9518411820618,0.392209949124752,-0.37309563995853,0.326333957406993,-0.100853059045741,-24.3459456576932,-25.5832336855847,daytime,5,-0.278675586774121,0.220388100509995
2020-06-25T08:30:00Z,-24.7192145595048,-0.107841846946391,-20.8571322194055,0.317521949694474,0.425284123500431,0.327646480463049,-0.112441523580132,-0.0261408730724495,-0.212493640932018,0.0370091006599876,0.258712250822025,-0.684771670829265,-0.23972614966443,-0.00591155753291527,-23.8043786596363,0.400080833737572,-0.331020945745833,0.354019538036018,-0.0768367361173408,-24.0109697553586,-26.6965107365204,daytime,5,-0.0762459695847973,0.159396453341415
2020-06-25T09:00:00Z,-28.5352758846786,-0.00654497415417739,-22.3670861456278,0.315072744528257,0.304203964965884,0.3377015278066,0.181492302787876,0.212322067829142,-0.0122062533068843,-0.00351749202511477,0.0871568812071289,-0.795569883728061,-0.223542752392777,-0.0183916818306597,-28.6356484900375,0.427807779583893,-0.294003015317785,0.24594788388924,-0.131354420985566,-28.5182956477633,-28.6464086816305,daytime,5,0.203849119582111,0.177911869108099
2020-06-25T09:30:00Z,-18.6961800162021,0.0286037855178504,-26.3138446964263,0.300106064916984,0.383708170626083,0.325418870674536,0.148443390734682,0.127051862670685,0.0555384444537641,0.0130479308139569,0.117997406706264,-1.10376445905642,-0.190014042329552,-0.00407315329340479,-18.4522335528655,0.410599773077764,-0.30334140127482,0.297583267403578,8.97397100294204e-05,-18.6606289358298,-18.5959078042567,daytime,5,0.101138760888483,-170.2810341435
